time,raw,threshold,reached,profile,capacity,current_ma,status
09:20:25,90,90,0,2,88,2278,Charging
09:20:25,90,90,0,2,88,2278,Charging
09:20:26,90,90,0,2,88,2278,Charging
09:20:26,90,90,0,2,88,2278,Charging
09:20:27,90,90,0,2,88,2278,Charging
09:20:27,90,90,0,2,88,2278,Charging
09:20:28,90,90,0,2,88,2278,Charging
09:20:28,90,90,0,2,88,2278,Charging
09:20:29,90,90,0,2,88,2278,Charging
09:20:29,90,90,0,2,88,2278,Charging
09:20:30,90,90,0,2,88,2278,Charging
09:20:30,90,90,0,2,88,2278,Charging
09:20:31,90,90,0,2,88,2278,Charging
09:20:31,90,90,0,2,88,2278,Charging
09:20:32,90,90,0,2,88,2278,Charging
09:20:32,90,90,0,2,88,2278,Charging
09:20:33,90,90,0,2,88,2278,Charging
09:20:33,90,90,0,2,88,2278,Charging
09:20:34,90,90,0,2,88,2278,Charging
09:20:34,90,90,0,2,88,2278,Charging
09:20:35,90,90,0,2,88,2278,Charging
09:20:35,90,90,0,2,88,2278,Charging
09:20:36,90,90,0,2,88,2278,Charging
09:20:36,90,90,0,2,88,2278,Charging
09:20:37,90,90,0,2,88,2278,Charging
09:20:37,90,90,0,2,88,2278,Charging
09:20:38,90,90,0,2,88,2278,Charging
09:20:38,90,90,0,2,88,2278,Charging
09:20:39,90,90,0,2,88,2278,Charging
09:20:39,90,90,0,2,89,2278,Charging
09:20:40,90,90,0,2,89,2278,Charging
09:20:40,90,90,0,2,89,2278,Charging
09:20:41,90,90,0,2,89,2278,Charging
09:20:41,90,90,0,2,89,2244,Charging
09:20:42,90,90,0,2,89,2244,Charging
09:20:42,90,90,0,2,89,2244,Charging
09:20:43,90,90,0,2,89,2244,Charging
09:20:43,90,90,0,2,89,2244,Charging
09:20:44,90,90,0,2,89,2244,Charging
09:20:44,90,90,0,2,89,2244,Charging
09:20:45,90,90,0,2,89,2244,Charging
09:20:45,90,90,0,2,89,2244,Charging
09:20:46,90,90,0,2,89,2244,Charging
09:20:46,90,90,0,2,89,2244,Charging
09:20:47,90,90,0,2,89,2244,Charging
09:20:47,90,90,0,2,89,2244,Charging
09:20:48,90,90,0,2,89,2244,Charging
09:20:48,90,90,0,2,89,2244,Charging
09:20:49,90,90,0,2,89,2244,Charging
09:20:49,90,90,0,2,89,2244,Charging
09:20:50,90,90,0,2,89,2244,Charging
09:20:50,90,90,0,2,89,2244,Charging
09:20:51,90,90,0,2,89,2244,Charging
09:20:51,90,90,0,2,89,2244,Charging
09:20:52,90,90,0,2,89,2244,Charging
09:20:52,90,90,0,2,89,2244,Charging
09:20:53,90,90,0,2,89,2244,Charging
09:20:53,90,90,0,2,89,2244,Charging
09:20:54,90,90,0,2,89,2244,Charging
09:20:54,90,90,0,2,89,2244,Charging
09:20:55,90,90,0,2,89,2244,Charging
09:20:55,90,90,0,2,89,2244,Charging
09:20:56,90,90,0,2,89,2244,Charging
09:20:56,90,90,0,2,89,2244,Charging
09:20:57,90,90,0,2,89,2244,Charging
09:20:58,90,90,0,2,89,2244,Charging
09:20:58,90,90,0,2,89,2244,Charging
09:20:59,90,90,0,2,89,2244,Charging
09:20:59,90,90,0,2,89,2244,Charging
09:21:00,90,90,0,2,89,2244,Charging
09:21:00,90,90,0,2,89,2244,Charging
09:21:01,90,90,0,2,89,2210,Charging
09:21:01,90,90,0,2,89,2210,Charging
09:21:02,90,90,0,2,89,2210,Charging
09:21:02,90,90,0,2,89,2210,Charging
09:21:03,90,90,0,2,89,2210,Charging
09:21:03,90,90,0,2,89,2210,Charging
09:21:04,90,90,0,2,89,2210,Charging
09:21:04,90,90,0,2,89,2210,Charging
09:21:05,90,90,0,2,89,2210,Charging
09:21:05,90,90,0,2,89,2210,Charging
09:21:06,90,90,0,2,89,2210,Charging
09:21:06,90,90,0,2,89,2210,Charging
09:21:07,90,90,0,2,89,2210,Charging
09:21:07,90,90,0,2,89,2210,Charging
09:21:08,90,90,0,2,89,2210,Charging
09:21:08,90,90,0,2,89,2210,Charging
09:21:09,90,90,0,2,89,2210,Charging
09:21:09,90,90,0,2,89,2210,Charging
09:21:10,90,90,0,2,89,2210,Charging
09:21:10,90,90,0,2,89,2210,Charging
09:21:11,90,90,0,2,89,2210,Charging
09:21:11,90,90,0,2,89,2210,Charging
09:21:12,90,90,0,2,89,2210,Charging
09:21:12,90,90,0,2,89,2210,Charging
09:21:13,90,90,0,2,89,2210,Charging
09:21:13,90,90,0,2,89,2210,Charging
09:21:14,90,90,0,2,89,2210,Charging
09:21:14,90,90,0,2,89,2210,Charging
09:21:15,90,90,0,2,89,2210,Charging
09:21:15,90,90,0,2,89,2210,Charging
09:21:16,90,90,0,2,89,2210,Charging
09:21:16,90,90,0,2,89,2210,Charging
09:21:17,90,90,0,2,89,2210,Charging
09:21:17,90,90,0,2,89,2210,Charging
09:21:18,90,90,0,2,89,2210,Charging
09:21:18,90,90,0,2,89,2210,Charging
09:21:19,90,90,0,2,89,2210,Charging
09:21:19,90,90,0,2,89,2210,Charging
09:21:20,90,90,0,2,89,2210,Charging
09:21:20,90,90,0,2,89,2210,Charging
09:21:21,90,90,0,2,89,2210,Charging
09:21:21,90,90,0,2,89,2210,Charging
09:21:22,90,90,0,2,89,2210,Charging
09:21:22,90,90,0,2,89,2210,Charging
09:21:23,90,90,0,2,89,2176,Charging
09:21:23,90,90,0,2,89,2176,Charging
09:21:24,90,90,0,2,89,2176,Charging
09:21:24,90,90,0,2,89,2176,Charging
09:21:25,90,90,0,2,89,2176,Charging
09:21:25,90,90,0,2,89,2176,Charging
09:21:26,90,90,0,2,89,2176,Charging
09:21:26,90,90,0,2,89,2176,Charging
09:21:27,90,90,0,2,89,2176,Charging
09:21:27,90,90,0,2,89,2176,Charging
09:21:28,90,90,0,2,89,2176,Charging
09:21:28,90,90,0,2,89,2176,Charging
09:21:29,90,90,0,2,89,2176,Charging
09:21:29,90,90,0,2,89,2176,Charging
09:21:30,90,90,0,2,89,2176,Charging
09:21:30,90,90,0,2,89,2176,Charging
09:21:31,90,90,0,2,89,2176,Charging
09:21:31,90,90,0,2,89,2176,Charging
09:21:32,90,90,0,2,89,2176,Charging
09:21:32,90,90,0,2,89,2176,Charging
09:21:33,90,90,0,2,89,2176,Charging
09:21:33,90,90,0,2,89,2176,Charging
09:21:34,90,90,0,2,89,2176,Charging
09:21:34,90,90,0,2,89,2176,Charging
09:21:35,90,90,0,2,89,2176,Charging
09:21:35,90,90,0,2,89,2176,Charging
09:21:36,90,90,0,2,89,2176,Charging
09:21:36,90,90,0,2,89,2176,Charging
09:21:37,90,90,0,2,89,2142,Charging
09:21:37,90,90,0,2,89,2142,Charging
09:21:38,90,90,0,2,89,2142,Charging
09:21:38,90,90,0,2,89,2142,Charging
09:21:39,90,90,0,2,89,2142,Charging
09:21:39,90,90,0,2,89,2142,Charging
09:21:40,90,90,0,2,89,2142,Charging
09:21:40,90,90,0,2,89,2142,Charging
09:21:41,90,90,0,2,89,2142,Charging
09:21:41,90,90,0,2,89,2142,Charging
09:21:42,90,90,0,2,89,2142,Charging
09:21:42,90,90,0,2,89,2142,Charging
09:21:43,90,90,0,2,89,2142,Charging
09:21:43,90,90,0,2,89,2142,Charging
09:21:44,90,90,0,2,89,2142,Charging
09:21:44,90,90,0,2,89,2142,Charging
09:21:45,90,90,0,2,89,2142,Charging
09:21:45,90,90,0,2,89,2142,Charging
09:21:46,90,90,0,2,89,2142,Charging
09:21:46,90,90,0,2,89,2142,Charging
09:21:47,90,90,0,2,89,2142,Charging
09:21:47,90,90,0,2,89,2142,Charging
09:21:48,90,90,0,2,89,2142,Charging
09:21:48,90,90,0,2,89,2142,Charging
09:21:49,90,90,0,2,89,2142,Charging
09:21:49,90,90,0,2,89,2142,Charging
09:21:50,90,90,0,2,89,2142,Charging
09:21:50,90,90,0,2,89,2142,Charging
09:21:51,90,90,0,2,89,2142,Charging
09:21:51,90,90,0,2,89,2142,Charging
09:21:52,90,90,0,2,89,2142,Charging
09:21:52,90,90,0,2,89,2142,Charging
09:21:53,90,90,0,2,89,2142,Charging
09:21:53,90,90,0,2,89,2142,Charging
09:21:54,90,90,0,2,89,2142,Charging
09:21:54,90,90,0,2,89,2142,Charging
09:21:55,90,90,0,2,89,2142,Charging
09:21:55,90,90,0,2,89,2142,Charging
09:21:56,90,90,0,2,89,2142,Charging
09:21:56,90,90,0,2,89,2142,Charging
09:21:57,90,90,0,2,89,2142,Charging
09:21:57,90,90,0,2,89,2142,Charging
09:21:58,90,90,0,2,89,2142,Charging
09:21:58,90,90,0,2,89,2142,Charging
09:21:59,90,90,0,2,89,2142,Charging
09:21:59,90,90,0,2,89,2142,Charging
09:22:00,90,90,0,2,89,2108,Charging
09:22:00,90,90,0,2,89,2108,Charging
09:22:01,90,90,0,2,89,2108,Charging
09:22:01,90,90,0,2,89,2108,Charging
09:22:02,90,90,0,2,89,2108,Charging
09:22:02,90,90,0,2,89,2108,Charging
09:22:03,90,90,0,2,89,2108,Charging
09:22:03,90,90,0,2,89,2108,Charging
09:22:04,90,90,0,2,89,2108,Charging
09:22:04,90,90,0,2,89,2108,Charging
09:22:05,90,90,0,2,89,2108,Charging
09:22:05,90,90,0,2,89,2108,Charging
09:22:06,90,90,0,2,89,2108,Charging
09:22:06,90,90,0,2,89,2108,Charging
09:22:07,90,90,0,2,89,2108,Charging
09:22:07,90,90,0,2,89,2108,Charging
09:22:08,90,90,0,2,89,2108,Charging
09:22:08,90,90,0,2,89,2108,Charging
09:22:09,90,90,0,2,89,2108,Charging
09:22:09,90,90,0,2,89,2108,Charging
09:22:10,90,90,0,2,89,2108,Charging
09:22:10,90,90,0,2,89,2108,Charging
09:22:11,90,90,0,2,89,2108,Charging
09:22:11,90,90,0,2,89,2108,Charging
09:22:12,90,90,0,2,89,2108,Charging
09:22:12,90,90,0,2,89,2108,Charging
09:22:13,90,90,0,2,89,2108,Charging
09:22:13,90,90,0,2,89,2108,Charging
09:22:14,90,90,0,2,89,2108,Charging
09:22:14,90,90,0,2,89,2108,Charging
09:22:15,90,90,0,2,89,2108,Charging
09:22:15,90,90,0,2,89,2108,Charging
09:22:16,90,90,0,2,89,2108,Charging
09:22:16,90,90,0,2,89,2108,Charging
09:22:17,90,90,0,2,89,2108,Charging
09:22:17,90,90,0,2,89,2108,Charging
09:22:18,90,90,0,2,89,2108,Charging
09:22:18,90,90,0,2,89,2108,Charging
09:22:19,90,90,0,2,89,2108,Charging
09:22:19,90,90,0,2,89,2108,Charging
09:22:20,90,90,0,2,89,2074,Charging
09:22:20,90,90,0,2,89,2074,Charging
09:22:21,90,90,0,2,89,2074,Charging
09:22:21,90,90,0,2,89,2074,Charging
09:22:22,90,90,0,2,89,2074,Charging
09:22:22,90,90,0,2,89,2074,Charging
09:22:23,90,90,0,2,89,2074,Charging
09:22:23,90,90,0,2,89,2074,Charging
09:22:24,90,90,0,2,89,2074,Charging
09:22:24,90,90,0,2,89,2074,Charging
09:22:25,90,90,0,2,89,2074,Charging
09:22:25,90,90,0,2,89,2074,Charging
09:22:26,90,90,0,2,90,2074,Charging
09:22:26,90,90,0,2,90,2074,Charging
09:22:27,90,90,0,2,90,2074,Charging
09:22:27,90,90,0,2,90,2074,Charging
